"","responsavel","ano","bensMovimentados"
"1","AACF","2017",9
"2","AACF","2018",3
"3","AACF","2019",25
"4","AACM","2020",7
"5","AACSF","2018",8
"6","AAMC.P","2019",6
"7","AAMC.P","2020",1
"8","AAS","2018",1
"9","AAS","2020",6
"10","AASJ","2018",1
"11","ABB","2019",61
"12","ABB","2020",5
"13","ABMF","2019",2
"14","AC","2018",4
"15","AC","2019",3
"16","ACBL","2019",1
"17","ACFC","2019",4
"18","ACFC","2020",1
"19","ACM","2019",3
"20","ACMAV","2018",3
"21","ACMAV","2019",2
"22","ACRO","2019",4
"23","ACS","2017",6
"24","ACS","2018",90
"25","ACS","2019",9
"26","ACS","2020",1
"27","AFL","2019",21
"28","AGCM","2018",4
"29","AGCM","2019",36
"30","AGCM","2020",1
"31","AIR","2019",1
"32","AJ","2018",1
"33","AJ","2019",4
"34","ALA","2019",1
"35","ALIR","2017",146
"36","ALIR","2018",241
"37","ALIR","2019",333
"38","ALIR","2020",26
"39","ALO","2019",1
"40","ALRC","2017",37
"41","ALRC","2018",6
"42","ALRC","2019",3
"43","ALS","2017",1
"44","ALS","2018",10
"45","ALS","2019",5
"46","ALS","2020",1
"47","ALVS","2018",2
"48","ALVS","2019",2
"49","AMB","2018",4
"50","AMF","2018",1
"51","AMF","2019",7
"52","AMG","2019",1
"53","AMGJ","2019",39
"54","AMGJ","2020",1
"55","AMLM","2017",1
"56","AMLM","2018",82
"57","AMLM","2019",31
"58","AMTO","2019",257
"59","AMTO","2020",1
"60","AMV","2019",2
"61","AMV","2020",33
"62","ANRF","2018",8
"63","ANRF","2019",7
"64","APAF","2019",4
"65","APPR","2019",30
"66","APVB","2018",44
"67","ARA","2018",2
"68","ARCL","2019",8
"69","ASM","2018",2
"70","ASM","2019",27
"71","ASM","2020",1
"72","ASMB","2018",8
"73","ASP","2018",9
"74","ASP","2019",7
"75","ASS","2019",9
"76","AUSM","2017",1
"77","AUSM","2018",3
"78","BAM","2019",3
"79","BFSO","2020",1
"80","BSO","2018",248
"81","BSO","2019",85
"82","BSO","2020",1
"83","CA","2018",6
"84","CA","2019",4
"85","CARB","2017",1
"86","CARB","2018",1
"87","CARB","2019",9
"88","CAS","2018",136
"89","CAS","2019",9
"90","CAS","2020",4
"91","CBA","2018",9
"92","CBA","2019",10
"93","CBL","2018",1
"94","CDSM","2019",3
"95","CGB","2018",3
"96","CGB","2019",31
"97","CGSS","2019",58
"98","CHGS","2019",3
"99","CHPC","2019",1
"100","CIM","2019",8
"101","CJR","2017",1
"102","CJR","2018",3
"103","CLC","2017",77
"104","CLC","2018",5
"105","CLC","2019",33
"106","CMC","2018",2
"107","CMCB","2019",5
"108","CMO","2017",16
"109","CMO","2018",4
"110","CMO","2019",43
"111","CMS","2019",1
"112","CNJ","2018",11
"113","CNJ","2019",1
"114","COPA.P","2018",39
"115","COPA.P","2019",2
"116","CPS","2018",4
"117","CPS","2019",79
"118","CRC","2017",27
"119","CRC","2018",95
"120","CRC","2019",567
"121","CRC","2020",2
"122","CRFS","2018",4
"123","CRFS","2019",3
"124","CRN","2017",2
"125","CRN","2019",22
"126","CRS","2019",1
"127","CSMSF","2018",5
"128","CSMSF","2019",1
"129","CSOAN","2018",71
"130","CSOAN","2019",1
"131","CSS","2017",28
"132","CSS","2018",143
"133","CSS","2019",8
"134","DAJ","2018",1
"135","DAJ","2019",1
"136","DAO","2018",12
"137","DAO","2020",1
"138","DARF","2019",7
"139","DARF","2020",1
"140","DAS","2018",2
"141","DCCP","2017",1
"142","DCCP","2018",2
"143","DCCP","2019",2
"144","DCS","2019",11
"145","DDR","2019",52
"146","DF","2019",1
"147","DFL","2017",1
"148","DFL","2018",12
"149","DFL","2019",27
"150","DHACS","2019",1
"151","DHM","2017",189
"152","DHM","2018",96
"153","DHM","2019",17
"154","DHM","2020",12
"155","DJV","2018",8
"156","DLF","2018",4
"157","DLF","2019",3
"158","DLF","2020",3
"159","DLL","2018",4
"160","DLL","2019",1
"161","DLM","2018",38
"162","DLM","2019",9
"163","DLPL","2017",3
"164","DLRO","2017",2
"165","DLRO","2019",58
"166","DMMV","2018",4
"167","DMMV","2019",25
"168","DNF","2018",10
"169","DNF","2019",1
"170","DNV","2017",12
"171","DNV","2019",34
"172","EAOL","2018",28
"173","EAOL","2019",509
"174","EAS","2017",1
"175","EAS","2018",1
"176","EAS","2019",4
"177","EBM","2018",1
"178","EBM","2019",7
"179","EBS","2018",3
"180","EBS","2019",9
"181","EBT","2018",1
"182","EBT","2019",2
"183","ECS","2017",1
"184","EFCC","2019",1
"185","EJD","2017",4
"186","EJD","2018",20
"187","EJD","2019",3
"188","EMA","2018",87
"189","EMA","2019",21
"190","EMA","2020",1
"191","EMCS","2020",1
"192","ENV","2019",9
"193","EOS","2018",2
"194","EOS","2019",1
"195","EOS","2020",1
"196","EOSN","2017",4
"197","EOSN","2018",14
"198","EOSN","2019",40
"199","EOSQ","2019",1
"200","EPB","2018",1
"201","ERMJ","2018",64
"202","ERMJ","2019",26
"203","ERMJ","2020",32
"204","ESO","2018",3
"205","ESO","2019",1
"206","FABG","2018",1
"207","FALG","2018",12
"208","FALG","2019",22
"209","FALG","2020",2
"210","FAO","2020",1
"211","FCGC","2017",1
"212","FCGC","2018",7
"213","FCGC","2019",1
"214","FCL","2019",5
"215","FCSN","2018",3
"216","FCSN","2019",4
"217","FFMCF","2018",12
"218","FFMCF","2019",7
"219","FGCF","2018",10
"220","FGCF","2019",1
"221","FHF","2019",28
"222","FHF","2020",66
"223","FJL","2017",1
"224","FJL","2018",4
"225","FJL","2019",24
"226","FJL","2020",1
"227","FKA","2019",1
"228","FKA","2020",1
"229","FLC","2018",2
"230","FLPC","2017",1
"231","FLPC","2018",3
"232","FLPC","2019",4
"233","FMCS","2018",7
"234","FMCS","2019",77
"235","FMLN","2018",4
"236","FMLN","2019",56
"237","FMSC","2018",10
"238","FMSC","2019",11
"239","FNT.D","2018",3
"240","FRBP","2019",44
"241","FTF","2018",2
"242","FVBC","2018",19
"243","FVBC","2019",34
"244","GECD","2018",2
"245","GECD","2019",1
"246","GECD","2020",1
"247","GHSM","2017",1
"248","GJDB","2018",1
"249","GMP","2018",4
"250","GMP","2019",1
"251","GMR","2018",1
"252","GMR","2019",1
"253","GMS","2019",229
"254","GMS","2020",2
"255","GMSR","2020",1
"256","GPO","2018",2
"257","GPO","2019",1
"258","GPO","2020",7
"259","GSALGC","2018",5
"260","GSM","2017",9
"261","GSM","2018",15
"262","GSM","2019",6
"263","HAFF","2018",2
"264","HAFF","2019",4
"265","HDMB","2019",1
"266","HFCM","2017",4
"267","HFCM","2018",26
"268","HFCM","2019",63
"269","HGSD","2019",1
"270","HMC","2018",3
"271","HMC","2019",1
"272","HMMRP","2020",1
"273","HMS","2019",1
"274","HVM","2017",8
"275","HVM","2018",22
"276","HVM","2019",58
"277","HVM","2020",14
"278","IAMS","2017",40
"279","IAMS","2018",7
"280","IAMS","2019",1
"281","ICAT","2018",4
"282","ICL","2017",1
"283","ICL","2018",4
"284","ICL","2019",6
"285","ICMO","2019",61
"286","ICMO","2020",1
"287","IDF","2018",34
"288","IDF","2019",27
"289","IFS","2017",2
"290","IFS","2019",1
"291","IMR","2019",6
"292","IMS","2017",1
"293","IMS","2018",11
"294","IMS","2019",9
"295","IMS","2020",1
"296","IPABP","2018",2
"297","IPABP","2019",1
"298","ISVF","2018",14
"299","ISVF","2019",142
"300","ISVF","2020",1
"301","JAC","2017",110
"302","JAC","2018",9
"303","JAC","2019",10
"304","JAPF","2017",1
"305","JAPF","2019",2
"306","JAVFF","2019",50
"307","JBS","2019",6
"308","JCAL","2019",2
"309","JCSG","2018",1
"310","JGM","2018",38
"311","JLB","2018",60
"312","JLB","2019",5
"313","JLB","2020",1
"314","JLMJ","2019",1
"315","JLMJ","2020",1
"316","JLPC","2020",1
"317","JLRP","2018",37
"318","JLRP","2019",11
"319","JLRP","2020",1
"320","JLSA","2020",3
"321","JNS","2018",60
"322","JPAG","2018",28
"323","JPAG","2019",1
"324","JPRS","2019",1
"325","JR","2018",1
"326","JR","2019",1
"327","JRAJ","2017",4
"328","JRAJ","2018",12
"329","JRAJ","2019",1
"330","JRAO","2017",2
"331","JRSR","2018",13
"332","JRSR","2019",5
"333","JSA","2020",2
"334","JSG","2019",1
"335","JSG","2020",27
"336","JSGM","2018",2
"337","JSN","2018",1
"338","JSN","2019",2
"339","JTMS","2019",6
"340","JVSPM","2018",49
"341","JVSPM","2019",12
"342","KAS","2018",4
"343","KCB","2019",474
"344","KF","2018",8
"345","KF","2019",1
"346","KVCF","2018",7
"347","LAAL","2019",63
"348","LAB","2018",1
"349","LAO","2018",1
"350","LAO","2020",1
"351","LAS","2019",37
"352","LAS","2020",1
"353","LBR","2018",3
"354","LBR","2019",5
"355","LCBL","2018",44
"356","LCBL","2019",10
"357","LCCS","2017",27
"358","LCCS","2018",261
"359","LCCS","2019",1161
"360","LCCS","2020",182
"361","LD","2018",1
"362","LD","2019",1
"363","LEGB","2017",72
"364","LEGB","2018",4
"365","LEGB","2019",32
"366","LEGB","2020",1
"367","LFRT","2019",1
"368","LFS","2018",28
"369","LFS","2019",12
"370","LGSRB","2018",13
"371","LGSRB","2019",12
"372","LL","2017",34
"373","LL","2018",41
"374","LL","2019",297
"375","LMA","2018",50
"376","LMA","2019",6
"377","LMI","2018",1
"378","LMI","2019",1
"379","LMI","2020",25
"380","LML","2018",40
"381","LML","2019",4
"382","LMV","2018",1
"383","LRBL","2019",27
"384","LRCM","2017",16
"385","LRCM","2018",4
"386","LRCM","2019",16
"387","LRCM","2020",1
"388","LSF","2017",2
"389","LSF","2018",10
"390","LSF","2019",20
"391","LSF","2020",1
"392","LSZ","2018",7
"393","LSZ","2019",28
"394","MAB","2017",35
"395","MAB","2018",70
"396","MAB","2019",110
"397","MAB","2020",2
"398","MACA","2018",5
"399","MACA","2019",35
"400","MACA","2020",1
"401","MACGV","2019",1
"402","MACS","2019",3
"403","MAG","2018",1
"404","MAG","2019",40
"405","MAG","2020",1
"406","MALA","2019",2
"407","MAM","2018",21
"408","MAM","2019",9
"409","MAO","2019",219
"410","MAPE","2017",1
"411","MAPE","2018",3
"412","MAPE","2019",1
"413","MAR","2019",1
"414","Marcio Guillardi da Silva","2018",4
"415","Marcio Guillardi da Silva","2019",11
"416","MBGB","2017",1
"417","MBGB","2018",3
"418","MBGB","2019",1
"419","MCA","2018",4
"420","MCA","2019",38
"421","MCB","2019",3
"422","MCM","2017",96
"423","MCM","2018",183
"424","MCM","2019",319
"425","MCM","2020",1
"426","MCS.NC","2019",4
"427","MFB","2019",28
"428","MFB","2020",1
"429","MGA","2018",3
"430","MGA","2019",5
"431","MGMS","2019",1
"432","MGMS","2020",1
"433","MGS","2019",1
"434","MGS","2020",3
"435","MIB","2019",3
"436","MIFT","2019",4
"437","MJDF","2017",1
"438","MJSN","2018",1
"439","MJSN","2020",1
"440","MKS","2017",2
"441","MKS","2018",13
"442","MKS","2019",10
"443","MLA","2019",2
"444","MM","2017",2
"445","MM","2018",8
"446","MM","2019",42
"447","MMLS","2018",3
"448","MMLS","2019",2
"449","MMM","2018",73
"450","MMPG","2018",95
"451","MMPG","2019",7
"452","MMPG","2020",2
"453","MMS","2018",38
"454","MMS","2019",3
"455","MOS","2019",1
"456","MPM","2019",15
"457","MPSL","2017",78
"458","MPSL","2018",21
"459","MPSL","2019",15
"460","MRGB","2018",1
"461","MRN","2017",1
"462","MRN","2018",12
"463","MRN","2019",9
"464","MSBA","2019",84
"465","MSP","2018",45
"466","MSP","2019",4
"467","MSS","2019",1
"468","NAG","2017",4
"469","NAG","2018",8
"470","NCCP","2018",10
"471","NCCP","2019",144
"472","NLMSB","2019",1
"473","NMB","2017",2
"474","NMB","2018",1
"475","NMB","2019",111
"476","NMB","2020",122
"477","NML","2019",11
"478","NRF","2018",7
"479","NRF","2019",32
"480","NRLA","2019",48
"481","OCG","2018",50
"482","OCG","2019",10
"483","OCG","2020",4
"484","OMDB","2018",39
"485","OMDB","2019",11
"486","ONL.F.SM","2018",40
"487","ONL.F.SM","2019",15
"488","ONL.F.SM","2020",8
"489","ORSA","2017",2
"490","ORSA","2018",44
"491","ORSA","2019",1
"492","PALC","2018",11
"493","PALC","2020",16
"494","PBFS","2018",1
"495","PCEG","2017",75
"496","PCEG","2018",14
"497","PCEG","2019",32
"498","PFCF","2019",2
"499","PHFM","2018",1
"500","PHP","2018",1
"501","PJS","2018",1
"502","PJS","2020",1
"503","PLGSS","2018",36
"504","PLGSS","2019",35
"505","PLS","2017",4
"506","PLS","2018",7
"507","PLS","2019",1
"508","PLSC","2019",1
"509","PNT","2018",5
"510","PNT","2019",3
"511","PR","2017",25
"512","PR","2018",8
"513","PR","2019",51
"514","PRB","2018",2
"515","PRB","2019",4
"516","PRL","2018",2
"517","RAAF","2018",133
"518","RAB","2018",1
"519","RAB","2020",1
"520","RANB","2018",56
"521","RANB","2019",5
"522","RAS","2019",2
"523","RCF","2017",1
"524","RCF","2018",28
"525","RCF","2019",12
"526","RDM","2018",1
"527","RFF","2018",66
"528","RFJ","2017",173
"529","RFJ","2018",197
"530","RFJ","2019",24
"531","RFM","2019",44
"532","RJMBP","2018",49
"533","RJMBP","2019",4
"534","RJS","2017",1
"535","RJS","2018",3
"536","ROS","2017",1
"537","RRFF","2018",2
"538","RRFF","2020",1
"539","RRL","2017",30
"540","RRL","2018",2
"541","RRL","2019",83
"542","RRMF","2019",2
"543","RRS","2017",7
"544","RRS","2018",7
"545","RRS","2019",1
"546","RS","2019",2
"547","RSJS","2017",2
"548","RSJS","2018",40
"549","RSJS","2019",16
"550","RSL","2018",1
"551","RTS","2018",2
"552","RTS","2019",4
"553","RVGB","2019",7
"554","RVGB","2020",132
"555","RVL","2018",140
"556","RVL","2019",4
"557","RVS","2018",3
"558","RVS","2019",1
"559","SAA","2017",2
"560","SAA","2018",14
"561","SAA","2019",39
"562","SAA","2020",3
"563","SBAR","2020",1
"564","SCMC","2017",1
"565","SCMC","2018",2
"566","SCMC","2019",8
"567","SFF","2019",4
"568","SFPS","2017",2
